Date,Open,High,Low,Close,Adj Close,Volume
6/17/2021,200.630005,207.156662,200.446671,205.53334,205.53334,68104200
6/18/2021,204.456665,209.449997,203.933334,207.770004,207.770004,73682700
6/21/2021,208.160004,210.463333,202.960007,206.943329,206.943329,74438100
6/22/2021,206.083328,209.523331,205.166672,207.903336,207.903336,57476700
6/23/2021,210.666672,219.066666,210.013336,218.856674,218.856674,93297600
6/24/2021,224.996674,232.539993,222.536667,226.606674,226.606674,137947200
6/25/2021,229.860001,231.270004,222.899994,223.956665,223.956665,97490100
6/28/2021,223.880005,231.566666,223.440002,229.573334,229.573334,64884600
6/29/2021,228.21666,229.169998,225.296661,226.919998,226.919998,52143900
6/30/2021,226.589996,230.936661,226.046661,226.566666,226.566666,56774700
7/1/2021,227.973328,229.330002,224.266663,225.973328,225.973328,55903500
7/2/2021,226.32666,233.333328,224.419998,226.300003,226.300003,81163500
7/6/2021,227.236664,228,217.133331,219.860001,219.860001,69853500
7/7/2021,221.42334,221.899994,212.773331,214.883331,214.883331,56376000
7/8/2021,209.456665,218.143326,206.820007,217.603333,217.603333,68319900
7/9/2021,217.726669,219.636673,214.896667,218.983337,218.983337,54421500
7/12/2021,220.733337,229.080002,220.720001,228.566666,228.566666,77781000
7/13/2021,228.773331,231.093338,222.100006,222.846664,222.846664,62898300
7/14/2021,223.583328,226.203339,217.613327,217.793335,217.793335,64923600
7/15/2021,219.463333,222.046661,212.626663,216.866669,216.866669,60628800
7/16/2021,218.226669,218.899994,214.066666,214.740005,214.740005,49113000
7/19/2021,209.963333,215.733337,207.096664,215.406662,215.406662,63891300
7/20/2021,217.330002,220.796661,213.5,220.166672,220.166672,46461300
7/21/2021,219.869995,221.619995,216.763336,218.429993,218.429993,41859900
7/22/2021,218.813339,220.723328,214.866669,216.419998,216.419998,45317100
7/23/2021,215.453339,216.266663,212.433334,214.460007,214.460007,43814700
7/26/2021,216.990005,222.733337,215.703339,219.206665,219.206665,76009800
7/27/2021,221.133331,222.166672,209.080002,214.926666,214.926666,98439900
7/28/2021,215.666672,218.323334,213.133331,215.660004,215.660004,48019800
7/29/2021,216.596664,227.896667,216.266663,225.78334,225.78334,91183800
7/30/2021,223.919998,232.509995,223,229.066666,229.066666,88969200
8/2/2021,233.333328,242.313339,232.800003,236.556671,236.556671,100847400
8/3/2021,239.666672,240.883331,233.669998,236.580002,236.580002,64860900
8/4/2021,237,241.633331,236.309998,236.973328,236.973328,51007800
8/5/2021,238.666672,240.316666,237.136673,238.210007,238.210007,38758800
8/6/2021,237.300003,238.776672,232.543335,233.03334,233.03334,46869000
8/9/2021,236.723328,239.676666,235.043335,237.919998,237.919998,44145900
8/10/2021,237.996674,238.863327,233.960007,236.66333,236.66333,40296900
8/11/2021,237.570007,238.393326,234.736664,235.940002,235.940002,29401800
8/12/2021,235.446671,240.933334,233.133331,240.75,240.75,52377300
8/13/2021,241.236664,243.300003,238.113327,239.056671,239.056671,50194500
